mapping_id,obligation_id,domestic_norm,domestic_article,source_type,formal_source_level,correspondence_status,substantive_anchor_status,correspondence_role,mapping_coverage,actor_fit,procedure_fit,coordination_fit,enforcement_fit,rights_safeguard_fit,vertical_mandate_specification,gap_type,review_priority,review_status,official_source_url,official_publication_date,version_or_last_reform_date,verification_date,verified_by,verification_outcome,verification_note
MEX_MAP_IHR2005_029_001,IHR-OBL-029,Constitución Política de los Estados Unidos Mexicanos,"Art. 14, párrafos 1-2",constitution,3,identified,not_identified,contextual_or_enabling,contextual_only,partial,partial,none identified,partial,strong,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/cpeum.htm,1917-02-05,2026-04-23,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,"article located in consolidated text at stated reform date; NOTE: curated consolidated text reflects a reform dated 2026-04-23, after the pilot's 31 Jan 2026 domestic-law cutoff, so the article's existence is confirmed but its wording should be read against the version in force at cutoff"
MEX_MAP_IHR2005_029_002,IHR-OBL-029,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,identified,identified,substantive,partial_component,partial,partial,partial,partial,strong,partial,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_030_001,IHR-OBL-030,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,identified,identified,substantive,partial_component,strong,partial,partial,partial,partial,partial,partial regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_030_002,IHR-OBL-030,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 68,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,partial,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_031_001,IHR-OBL-031,Constitución Política de los Estados Unidos Mexicanos,Art. 1o.,constitution,3,identified,not_identified,contextual_or_enabling,contextual_only,partial,none identified,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/cpeum.htm,1917-02-05,2026-04-23,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,"article located in consolidated text at stated reform date; NOTE: curated consolidated text reflects a reform dated 2026-04-23, after the pilot's 31 Jan 2026 domestic-law cutoff, so the article's existence is confirmed but its wording should be read against the version in force at cutoff"
MEX_MAP_IHR2005_031_002,IHR-OBL-031,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 69,regulation,1,identified,identified,substantive,partial_component,partial,partial,partial,partial,partial,not directly implicated,rights safeguard gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_032_001,IHR-OBL-032,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,not directly implicated,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed_with_citation_correction,citation abbreviates the official ordinal form (Art. 9o.)
MEX_MAP_IHR2005_033_001,IHR-OBL-033,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Artículo 3o.,regulation,1,identified,identified,substantive,partial_component,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_034_001,IHR-OBL-034,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed_with_citation_correction,citation abbreviates the official ordinal form (Art. 9o.)
MEX_MAP_IHR2005_035_001,IHR-OBL-035,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 9,regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,not directly implicated,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed_with_citation_correction,citation abbreviates the official ordinal form (Art. 9o.)
MEX_MAP_IHR2005_036_001,IHR-OBL-036,Reglamento de la Ley General de Salud en Materia de Sanidad Internacional,Art. 44,regulation,1,identified,identified,substantive,partial_component,partial,weak,weak,weak,not directly implicated,not directly implicated,regulatory gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MSI.pdf,1985-02-18,1985-02-18,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_038_001,IHR-OBL-038,Ley Aduanera,"Art. 56, párrafo 4 (regulaciones y restricciones no arancelarias / sanidad)",statute,2,identified,not_identified,contextual_or_enabling,contextual_only,partial,weak,weak,weak,not directly implicated,partial,full gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/ref/ladua.htm,1995-12-15,2025-11-19,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_039_001,IHR-OBL-039,Constitución Política de los Estados Unidos Mexicanos,Art. 1o.,constitution,3,identified,not_identified,contextual_or_enabling,contextual_only,partial,none identified,none identified,partial,strong,not directly implicated,rights safeguard gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/cpeum.htm,1917-02-05,2026-04-23,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,"article located in consolidated text at stated reform date; NOTE: curated consolidated text reflects a reform dated 2026-04-23, after the pilot's 31 Jan 2026 domestic-law cutoff, so the article's existence is confirmed but its wording should be read against the version in force at cutoff"
MEX_MAP_IHR2005_039_002,IHR-OBL-039,Ley General de Salud,"Art. 139, fracciones I-VIII",statute,2,identified,identified,substantive,partial_component,partial,partial,partial,partial,partial,partial,procedural gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_040_001,IHR-OBL-040,Ley General de Salud,Art. 181,statute,2,identified,identified,substantive,partial_component,strong,partial,partial,partial,partial,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_040_002,IHR-OBL-040,Ley General de Salud,"Art. 184, fracciones I-V",statute,2,identified,identified,substantive,partial_component,strong,partial,partial,partial,partial,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_041_001,IHR-OBL-041,Reglamento Interior de la Secretaría de Salud,"Art. 35, frac. XIX",regulation,1,identified,identified,substantive,partial_component,strong,weak,weak,none identified,not directly implicated,not directly implicated,procedural gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_042_001,IHR-OBL-042,Ley General de Salud,"Art. 184, fracciones I-V",statute,2,identified,identified,substantive,partial_component,partial,weak,weak,weak,not directly implicated,partial,procedural gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/ref/lgs.htm,1984-02-07,2026-01-15,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_043_001,IHR-OBL-043,Reglamento Interior de la Secretaría de Salud,"Art. 33, fracs. I-IV",regulation,1,identified,identified,substantive,partial_component,strong,partial,partial,partial,not directly implicated,partial,regulatory gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/regla.htm,2004-01-19,2025-01-31,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_043_002,IHR-OBL-043,Ley Orgánica de la Administración Pública Federal,Artículo 28,statute,2,identified,identified,substantive,partial_component,strong,partial,partial,weak,not directly implicated,partial,coordination gap,medium,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/loapf.htm,1976-12-29,2025-06-20,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_044_001,IHR-OBL-044,Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados,Artículo 16,statute,2,identified,identified,substantive,complete_component,strong,strong,partial,strong,strong,partial,partial regulatory gap,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/lgpdppso.htm,2017-01-26,2025-03-20,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
MEX_MAP_IHR2005_044_002,IHR-OBL-044,Constitución Política de los Estados Unidos Mexicanos,"Art. 16, párrafos 1-2",constitution,3,identified,not_identified,contextual_or_enabling,contextual_only,partial,partial,none identified,partial,strong,not directly implicated,none,high,preliminary_ai_assisted,https://www.diputados.gob.mx/LeyesBiblio/ref/cpeum.htm,1917-02-05,2026-04-23,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,"article located in consolidated text at stated reform date; NOTE: curated consolidated text reflects a reform dated 2026-04-23, after the pilot's 31 Jan 2026 domestic-law cutoff, so the article's existence is confirmed but its wording should be read against the version in force at cutoff"
MEX_MAP_IHR2005_045_001,IHR-OBL-045,Reglamento de la Ley General de Salud en Materia de Investigación para la Salud,Art. 11,regulation,1,identified,not_identified,contextual_or_enabling,contextual_only,weak,weak,weak,none identified,not directly implicated,not directly implicated,full gap,low,requires_human_review,https://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LGS_MIS.pdf,1987-01-06,2014-04-02,2026-07-15,automated existence check against author-curated consolidated text (Cámara de Diputados / DOF); substantive correspondence pending expert review,confirmed,article located in consolidated text at stated reform date
